----------------------------------------------------
       Curve Parameters       | Order | Generator  
  a = 20   b = 44   p = 47    | 36    |  (1, 21)   
  a = 21   b = 44   p = 47    | 50    |   (7, 8)   
  a = 22   b = 44   p = 47    | 50    |   (6, 4)   
  a = 23   b = 44   p = 47    | 45    |   (2, 2)   
  a = 24   b = 44   p = 47    | 42    |   (9, 7)   
  a = 25   b = 44   p = 47    | 61    |  (2, 14)   
  a = 27   b = 44   p = 47    | 51    |  (1, 42)   
  a = 28   b = 44   p = 47    | 55    |  (2, 25)   
  a = 29   b = 44   p = 47    | 40    | Not Cyclic 
  a = 30   b = 44   p = 47    | 52    |  (1, 34)   
  a = 31   b = 44   p = 47    | 42    |  (5, 18)   
  a = 32   b = 44   p = 47    | 36    | Not Cyclic 
  a = 33   b = 44   p = 47    | 41    |  (2, 27)   
  a = 34   b = 44   p = 47    | 44    |   (4, 3)   
  a = 35   b = 44   p = 47    | 40    | Not Cyclic 
  a = 36   b = 44   p = 47    | 48    |   (1, 9)   
  a = 37   b = 44   p = 47    | 56    |  (2, 28)   
  a = 38   b = 44   p = 47    | 44    |  (4, 42)   
  a = 39   b = 44   p = 47    | 42    |  (16, 8)   
  a = 40   b = 44   p = 47    | 43    |  (3, 12)   
  a = 41   b = 44   p = 47    | 58    |  (3, 37)   
  a = 42   b = 44   p = 47    | 58    |  (6, 18)   
  a = 43   b = 44   p = 47    | 50    |  (9, 28)   
  a = 44   b = 44   p = 47    | 44    | Not Cyclic 
  a = 45   b = 44   p = 47    | 51    |  (3, 21)   
  a = 46   b = 44   p = 47    | 36    |   (7, 2)   
  a = 0    b = 45   p = 47    | 48    |  (7, 24)   
  a = 1    b = 45   p = 47    | 40    |  (6, 28)   
  a = 2    b = 45   p = 47    | 41    |   (1, 1)   
  a = 3    b = 45   p = 47    | 50    |  (4, 36)   
  a = 4    b = 45   p = 47    | 55    |  (1, 12)   
  a = 5    b = 45   p = 47    | 40    | Not Cyclic 
  a = 6    b = 45   p = 47    | 58    |  (2, 21)   
  a = 7    b = 45   p = 47    | 48    | Not Cyclic 
  a = 8    b = 45   p = 47    | 56    | Not Cyclic 
  a = 9    b = 45   p = 47    | 60    |  (8, 21)   
  a = 10   b = 45   p = 47    | 45    |   (1, 3)   
  a = 11   b = 45   p = 47    | 52    |  (2, 34)   
  a = 12   b = 45   p = 47    | 56    |  (5, 18)   
  a = 13   b = 45   p = 47    | 44    | Not Cyclic 
  a = 14   b = 45   p = 47    | 51    |   (2, 9)   
  a = 15   b = 45   p = 47    | 40    |   (2, 6)   
  a = 16   b = 45   p = 47    | 42    |  (6, 34)   
  a = 17   b = 45   p = 47    | 61    |   (1, 4)   
  a = 18   b = 45   p = 47    | 36    | Not Cyclic 
  a = 19   b = 45   p = 47    | 42    |   (8, 2)   
  a = 20   b = 45   p = 47    | 36    |  (15, 17)  
  a = 21   b = 45   p = 47    | 45    |   (2, 1)   
  a = 22   b = 45   p = 47    | 54    |  (9, 28)   
  a = 23   b = 45   p = 47    | 36    |   (8, 6)   
  a = 24   b = 45   p = 47    | 51    |   (4, 8)   
  a = 25   b = 45   p = 47    | 44    |  (1, 27)   
  a = 26   b = 45   p = 47    | 58    |  (1, 42)   
  a = 27   b = 45   p = 47    | 42    |  (3, 24)   
  a = 28   b = 45   p = 47    | 47    |  (1, 36)   
  a = 29   b = 45   p = 47    | 57    |  (1, 34)   
  a = 30   b = 45   p = 47    | 50    |  (11, 25)  
  a = 31   b = 45   p = 47    | 40    | Not Cyclic 
  a = 32   b = 45   p = 47    | 48    |  (8, 25)   
  a = 33   b = 45   p = 47    | 50    |  (2, 42)   
  a = 34   b = 45   p = 47    | 37    |  (2, 36)   
  a = 35   b = 45   p = 47    | 57    |  (4, 25)   
  a = 36   b = 45   p = 47    | 46    |  (10, 18)  
  a = 37   b = 45   p = 47    | 42    |  (21, 42)  
  a = 38   b = 45   p = 47    | 42    |  (16, 7)   
  a = 39   b = 45   p = 47    | 44    |   (3, 1)   
  a = 40   b = 45   p = 47    | 51    |   (3, 2)   
  a = 41   b = 45   p = 47    | 47    |  (3, 17)   
  a = 42   b = 45   p = 47    | 48    | Not Cyclic 
  a = 43   b = 45   p = 47    | 39    |  (1, 18)   
  a = 45   b = 45   p = 47    | 41    |   (2, 7)   
  a = 46   b = 45   p = 47    | 43    |   (2, 2)   
  a = 0    b = 46   p = 47    | 48    |  (6, 36)   
  a = 1    b = 46   p = 47    | 36    | Not Cyclic 
  a = 2    b = 46   p = 47    | 46    |   (1, 7)   
  a = 3    b = 46   p = 47    | 48    | Not Cyclic 
  a = 4    b = 46   p = 47    | 44    |  (5, 12)   
  a = 5    b = 46   p = 47    | 39    |   (7, 1)   
  a = 6    b = 46   p = 47    | 51    |  (1, 37)   
  a = 7    b = 46   p = 47    | 48    |  (1, 17)   
  a = 8    b = 46   p = 47    | 50    |  (1, 14)   
  a = 9    b = 46   p = 47    | 45    |  (5, 34)   
  a = 10   b = 46   p = 47    | 44    |   (3, 3)   
  a = 11   b = 46   p = 47    | 45    |  (9, 34)   
  a = 12   b = 46   p = 47    | 47    |  (1, 24)   
  a = 13   b = 46   p = 47    | 43    |  (3, 21)   
  a = 14   b = 46   p = 47    | 61    |  (1, 25)   
  a = 15   b = 46   p = 47    | 57    |  (2, 32)   
  a = 16   b = 46   p = 47    | 58    |  (3, 36)   
  a = 17   b = 46   p = 47    | 51    |   (1, 8)   
  a = 18   b = 46   p = 47    | 48    | Not Cyclic 
  a = 19   b = 46   p = 47    | 44    | Not Cyclic 
  a = 20   b = 46   p = 47    | 40    | Not Cyclic 
  a = 21   b = 46   p = 47    | 41    |  (1, 16)   
  a = 22   b = 46   p = 47    | 36    |   (2, 2)   
  a = 23   b = 46   p = 47    | 42    |   (3, 1)   
  a = 24   b = 46   p = 47    | 60    |   (3, 2)   
  a = 25   b = 46   p = 47    | 42    |  (3, 17)   
  a = 26   b = 46   p = 47    | 41    |  (2, 24)   
  a = 27   b = 46   p = 47    | 42    |   (6, 1)   
  a = 28   b = 46   p = 47    | 37    |  (1, 34)   
  a = 29   b = 46   p = 47    | 40    | Not Cyclic 
  a = 30   b = 46   p = 47    | 36    |  (15, 8)   
  a = 31   b = 46   p = 47    | 47    |  (3, 42)   
  a = 32   b = 46   p = 47    | 56    |  (1, 28)   
  a = 33   b = 46   p = 47    | 50    |  (5, 17)   
  a = 34   b = 46   p = 47    | 40    |   (1, 9)   
  a = 35   b = 46   p = 47    | 42    |   (5, 8)   
  a = 36   b = 46   p = 47    | 42    |   (1, 6)   
  a = 37   b = 46   p = 47    | 56    | Not Cyclic 
  a = 38   b = 46   p = 47    | 58    |  (4, 36)   
  a = 40   b = 46   p = 47    | 40    |  (8, 28)   
  a = 41   b = 46   p = 47    | 50    |  (2, 18)   
  a = 42   b = 46   p = 47    | 55    |  (7, 42)   
  a = 43   b = 46   p = 47    | 54    |  (14, 14)  
  a = 44   b = 46   p = 47    | 51    |   (2, 1)   
  a = 45   b = 46   p = 47    | 52    |  (4, 14)   
  a = 46   b = 46   p = 47    | 57    |  (5, 42)   
  a = 1    b = 0    p = 53    | 68    | Not Cyclic 
  a = 2    b = 0    p = 53    | 50    |  (5, 33)   
  a = 3    b = 0    p = 53    | 50    |  (3, 47)   
  a = 4    b = 0    p = 53    | 40    | Not Cyclic 
  a = 5    b = 0    p = 53    | 58    |  (3, 28)   
  a = 6    b = 0    p = 53    | 40    | Not Cyclic 
  a = 7    b = 0    p = 53    | 40    | Not Cyclic 
  a = 8    b = 0    p = 53    | 58    |  (2, 36)   
  a = 9    b = 0    p = 53    | 40    | Not Cyclic 
  a = 10   b = 0    p = 53    | 68    | Not Cyclic 
  a = 11   b = 0    p = 53    | 40    | Not Cyclic 
  a = 12   b = 0    p = 53    | 58    |  (3, 13)   
  a = 13   b = 0    p = 53    | 68    | Not Cyclic 
  a = 14   b = 0    p = 53    | 58    |  (2, 47)   
  a = 15   b = 0    p = 53    | 68    | Not Cyclic 
  a = 16   b = 0    p = 53    | 68    | Not Cyclic 
  a = 17   b = 0    p = 53    | 40    | Not Cyclic 
  a = 18   b = 0    p = 53    | 58    |  (2, 16)   
  a = 19   b = 0    p = 53    | 50    |  (2, 24)   
  a = 20   b = 0    p = 53    | 50    |  (5, 15)   
  a = 21   b = 0    p = 53    | 58    |  (3, 14)   
  a = 22   b = 0    p = 53    | 58    |  (2, 23)   
  a = 23   b = 0    p = 53    | 58    |   (2, 1)   
  a = 24   b = 0    p = 53    | 68    | Not Cyclic 
  a = 25   b = 0    p = 53    | 40    | Not Cyclic 
  a = 26   b = 0    p = 53    | 50    |  (3, 23)   
  a = 27   b = 0    p = 53    | 58    |  (2, 50)   
  a = 28   b = 0    p = 53    | 68    | Not Cyclic 
  a = 29   b = 0    p = 53    | 40    | Not Cyclic 
  a = 30   b = 0    p = 53    | 50    |  (2, 42)   
  a = 31   b = 0    p = 53    | 50    |  (2, 21)   
  a = 32   b = 0    p = 53    | 50    |  (19, 10)  
  a = 33   b = 0    p = 53    | 58    |   (5, 5)   
  a = 34   b = 0    p = 53    | 58    |  (8, 28)   
  a = 35   b = 0    p = 53    | 50    |   (2, 5)   
  a = 36   b = 0    p = 53    | 68    | Not Cyclic 
  a = 37   b = 0    p = 53    | 40    | Not Cyclic 
  a = 38   b = 0    p = 53    | 40    | Not Cyclic 
  a = 39   b = 0    p = 53    | 50    |  (3, 12)   
  a = 40   b = 0    p = 53    | 40    | Not Cyclic 
  a = 41   b = 0    p = 53    | 50    |  (2, 14)   
  a = 42   b = 0    p = 53    | 68    | Not Cyclic 
  a = 43   b = 0    p = 53    | 40    | Not Cyclic 
  a = 44   b = 0    p = 53    | 68    | Not Cyclic 
  a = 45   b = 0    p = 53    | 50    |  (12, 28)  
  a = 46   b = 0    p = 53    | 68    | Not Cyclic 
  a = 47   b = 0    p = 53    | 68    | Not Cyclic 
  a = 48   b = 0    p = 53    | 50    |  (5, 10)   
  a = 49   b = 0    p = 53    | 68    | Not Cyclic 
  a = 50   b = 0    p = 53    | 58    |  (5, 51)   
  a = 51   b = 0    p = 53    | 58    |  (2, 51)   
  a = 52   b = 0    p = 53    | 40    | Not Cyclic 
  a = 0    b = 1    p = 53    | 54    |  (11, 22)  
  a = 1    b = 1    p = 53    | 58    |   (2, 8)   
  a = 2    b = 1    p = 53    | 59    |   (0, 1)   
  a = 3    b = 1    p = 53    | 63    |  (2, 42)   
  a = 4    b = 1    p = 53    | 66    |  (5, 27)   
  a = 5    b = 1    p = 53    | 62    |   (0, 1)   
  a = 6    b = 1    p = 53    | 43    |   (0, 1)   
  a = 7    b = 1    p = 53    | 52    |   (0, 1)   
  a = 8    b = 1    p = 53    | 56    |  (1, 13)   
  a = 9    b = 1    p = 53    | 60    | Not Cyclic 
  a = 10   b = 1    p = 53    | 63    |  (4, 23)   
  a = 11   b = 1    p = 53    | 60    |  (15, 34)  
  a = 12   b = 1    p = 53    | 53    |   (0, 1)   
  a = 13   b = 1    p = 53    | 55    |   (0, 1)   
  a = 14   b = 1    p = 53    | 60    |  (1, 49)   
  a = 15   b = 1    p = 53    | 60    |   (7, 5)   
  a = 16   b = 1    p = 53    | 42    |   (0, 1)   
  a = 17   b = 1    p = 53    | 53    |   (0, 1)   
  a = 18   b = 1    p = 53    | 62    |  (3, 33)   
  a = 19   b = 1    p = 53    | 60    | Not Cyclic 
  a = 20   b = 1    p = 53    | 45    |   (0, 1)   
  a = 21   b = 1    p = 53    | 41    |   (0, 1)   
  a = 22   b = 1    p = 53    | 44    | Not Cyclic 
  a = 23   b = 1    p = 53    | 66    |   (0, 1)   
  a = 24   b = 1    p = 53    | 48    | Not Cyclic 
  a = 25   b = 1    p = 53    | 51    |   (0, 1)   
  a = 27   b = 1    p = 53    | 57    |   (0, 1)   
  a = 28   b = 1    p = 53    | 54    |   (5, 1)   
  a = 29   b = 1    p = 53    | 65    |   (0, 1)   
  a = 30   b = 1    p = 53    | 57    |   (0, 1)   
  a = 31   b = 1    p = 53    | 44    | Not Cyclic 
  a = 32   b = 1    p = 53    | 64    |   (0, 1)   
  a = 33   b = 1    p = 53    | 42    |  (6, 16)   
  a = 34   b = 1    p = 53    | 58    |   (0, 1)   
  a = 35   b = 1    p = 53    | 52    |   (0, 1)   
  a = 36   b = 1    p = 53    | 63    |  (7, 15)   
  a = 37   b = 1    p = 53    | 58    |   (0, 1)   
  a = 38   b = 1    p = 53    | 57    |   (0, 1)   
  a = 39   b = 1    p = 53    | 48    |  (10, 15)  
  a = 40   b = 1    p = 53    | 47    |   (0, 1)   
  a = 41   b = 1    p = 53    | 54    |   (0, 1)   
  a = 42   b = 1    p = 53    | 58    |  (1, 16)   
  a = 43   b = 1    p = 53    | 68    |  (2, 28)   
  a = 44   b = 1    p = 53    | 60    |   (0, 1)   
  a = 45   b = 1    p = 53    | 45    |   (0, 1)   
  a = 46   b = 1    p = 53    | 64    |   (0, 1)   
  a = 47   b = 1    p = 53    | 52    | Not Cyclic 
  a = 48   b = 1    p = 53    | 59    |   (0, 1)   
  a = 49   b = 1    p = 53    | 48    | Not Cyclic 
  a = 50   b = 1    p = 53    | 52    | Not Cyclic 
  a = 51   b = 1    p = 53    | 48    |  (13, 23)  
  a = 52   b = 1    p = 53    | 52    |  (2, 22)   
  a = 0    b = 2    p = 53    | 54    |  (2, 13)   
  a = 1    b = 2    p = 53    | 48    | Not Cyclic 
  a = 2    b = 2    p = 53    | 46    |  (10, 42)  
  a = 3    b = 2    p = 53    | 51    |  (3, 12)   
  a = 4    b = 2    p = 53    | 45    |  (1, 22)   
  a = 5    b = 2    p = 53    | 63    |  (3, 16)   
  a = 6    b = 2    p = 53    | 50    |  (7, 49)   
  a = 7    b = 2    p = 53    | 45    |  (2, 36)   
  a = 8    b = 2    p = 53    | 48    | Not Cyclic 
  a = 9    b = 2    p = 53    | 54    |  (4, 46)   
  a = 10   b = 2    p = 53    | 50    |  (1, 15)   
  a = 11   b = 2    p = 53    | 44    |  (4, 51)   
  a = 12   b = 2    p = 53    | 49    |  (1, 42)   
  a = 13   b = 2    p = 53    | 48    |  (14, 15)  
  a = 14   b = 2    p = 53    | 63    |  (1, 21)   
  a = 15   b = 2    p = 53    | 43    |  (2, 27)   
  a = 16   b = 2    p = 53    | 51    |  (2, 28)   
  a = 17   b = 2    p = 53    | 56    | Not Cyclic 
  a = 18   b = 2    p = 53    | 45    |  (10, 49)  
  a = 19   b = 2    p = 53    | 55    |  (4, 47)   
  a = 20   b = 2    p = 53    | 67    |  (3, 47)   
  a = 21   b = 2    p = 53    | 51    |  (1, 36)   
  a = 22   b = 2    p = 53    | 60    |   (5, 5)   
  a = 23   b = 2    p = 53    | 49    |  (4, 23)   
  a = 24   b = 2    p = 53    | 42    |  (6, 16)   
  a = 25   b = 2    p = 53    | 53    |  (1, 44)   
  a = 26   b = 2    p = 53    | 64    | Not Cyclic 
  a = 27   b = 2    p = 53    | 64    | Not Cyclic 
  a = 28   b = 2    p = 53    | 61    |  (2, 15)   
  a = 29   b = 2    p = 53    | 60    | Not Cyclic 
  a = 30   b = 2    p = 53    | 46    |  (2, 21)   
  a = 31   b = 2    p = 53    | 48    |  (16, 47)  
  a = 32   b = 2    p = 53    | 42    |  (35, 22)  
  a = 33   b = 2    p = 53    | 44    |  (8, 47)   
  a = 34   b = 2    p = 53    | 54    |   (2, 5)   
  a = 35   b = 2    p = 53    | 56    | Not Cyclic 
  a = 36   b = 2    p = 53    | 65    |  (2, 33)   
  a = 37   b = 2    p = 53    | 48    |  (5, 10)   
  a = 38   b = 2    p = 53    | 60    | Not Cyclic 
  a = 39   b = 2    p = 53    | 66    |  (3, 27)   
  a = 40   b = 2    p = 53    | 50    |  (1, 34)   
  a = 41   b = 2    p = 53    | 60    |  (6, 27)   
  a = 42   b = 2    p = 53    | 56    |  (11, 24)  
  a = 43   b = 2    p = 53    | 66    |  (8, 13)   
  a = 44   b = 2    p = 53    | 57    |  (1, 10)   
  a = 45   b = 2    p = 53    | 50    |  (2, 10)   
  a = 46   b = 2    p = 53    | 40    |  (1, 46)   
  a = 47   b = 2    p = 53    | 56    |   (3, 8)   
  a = 48   b = 2    p = 53    | 52    |  (4, 24)   
  a = 49   b = 2    p = 53    | 55    |  (1, 23)   
  a = 51   b = 2    p = 53    | 56    |   (1, 1)   
  a = 52   b = 2    p = 53    | 48    |  (4, 50)   
  a = 0    b = 3    p = 53    | 54    |   (2, 8)   
  a = 1    b = 3    p = 53    | 48    |  (8, 24)   
  a = 2    b = 3    p = 53    | 64    | Not Cyclic 
  a = 3    b = 3    p = 53    | 66    |  (8, 50)   
  a = 4    b = 3    p = 53    | 48    |  (3, 28)   
  a = 5    b = 3    p = 53    | 49    |  (1, 50)   
  a = 6    b = 3    p = 53    | 53    |  (1, 13)   
  a = 7    b = 3    p = 53    | 60    | Not Cyclic 
  a = 8    b = 3    p = 53    | 56    |   (3, 1)   
  a = 9    b = 3    p = 53    | 44    |  (1, 15)   
  a = 10   b = 3    p = 53    | 42    |  (10, 34)  
  a = 11   b = 3    p = 53    | 48    |  (5, 36)   
  a = 13   b = 3    p = 53    | 50    |  (2, 14)   
  a = 14   b = 3    p = 53    | 49    |  (4, 21)   
  a = 15   b = 3    p = 53    | 65    |  (8, 23)   
  a = 16   b = 3    p = 53    | 55    |  (2, 34)   
  a = 17   b = 3    p = 53    | 54    |  (9, 14)   
  a = 18   b = 3    p = 53    | 60    |  (9, 24)   
  a = 19   b = 3    p = 53    | 56    | Not Cyclic 
  a = 20   b = 3    p = 53    | 52    |  (5, 49)   
  a = 21   b = 3    p = 53    | 48    | Not Cyclic 
  a = 22   b = 3    p = 53    | 51    |  (4, 46)   
  a = 23   b = 3    p = 53    | 54    |  (2, 51)   
  a = 24   b = 3    p = 53    | 56    |  (1, 44)   
  a = 25   b = 3    p = 53    | 45    |  (3, 23)   
  a = 26   b = 3    p = 53    | 67    |  (2, 13)   
  a = 27   b = 3    p = 53    | 44    |  (6, 13)   
  a = 28   b = 3    p = 53    | 40    |  (10, 8)   
  a = 29   b = 3    p = 53    | 50    |  (2, 49)   
  a = 30   b = 3    p = 53    | 55    |  (4, 44)   
  a = 31   b = 3    p = 53    | 42    |  (13, 18)  
  a = 32   b = 3    p = 53    | 50    |  (4, 47)   
  a = 33   b = 3    p = 53    | 63    |  (1, 14)   
  a = 34   b = 3    p = 53    | 45    |  (6, 23)   
  a = 35   b = 3    p = 53    | 48    |  (3, 33)   
  a = 36   b = 3    p = 53    | 57    |  (4, 23)   
  a = 37   b = 3    p = 53    | 45    |  (6, 21)   
  a = 38   b = 3    p = 53    | 56    | Not Cyclic 
  a = 39   b = 3    p = 53    | 46    |  (2, 47)   
  a = 40   b = 3    p = 53    | 66    |  (1, 16)   
  a = 41   b = 3    p = 53    | 51    |  (2, 27)   
  a = 42   b = 3    p = 53    | 51    |  (6, 10)   
  a = 43   b = 3    p = 53    | 60    | Not Cyclic 
  a = 44   b = 3    p = 53    | 56    |  (2, 24)   
  a = 45   b = 3    p = 53    | 46    |  (9, 36)   
  a = 46   b = 3    p = 53    | 43    |  (3, 50)   
  a = 47   b = 3    p = 53    | 61    |  (2, 23)   
  a = 48   b = 3    p = 53    | 60    |   (2, 1)   
  a = 49   b = 3    p = 53    | 48    | Not Cyclic 
  a = 50   b = 3    p = 53    | 63    |  (9, 49)   
  a = 51   b = 3    p = 53    | 64    | Not Cyclic 
  a = 52   b = 3    p = 53    | 50    |  (2, 50)   
  a = 0    b = 4    p = 53    | 54    |  (13, 44)  
  a = 1    b = 4    p = 53    | 54    |  (7, 47)   
  a = 2    b = 4    p = 53    | 63    |  (1, 22)   
  a = 3    b = 4    p = 53    | 44    | Not Cyclic 
  a = 4    b = 4    p = 53    | 43    |  (0, 51)   
  a = 5    b = 4    p = 53    | 58    |  (0, 51)   
  a = 6    b = 4    p = 53    | 60    | Not Cyclic 
  a = 7    b = 4    p = 53    | 58    |  (0, 51)   
  a = 8    b = 4    p = 53    | 53    |  (0, 51)   
  a = 9    b = 4    p = 53    | 47    |  (0, 51)   
  a = 10   b = 4    p = 53    | 60    |  (17, 23)  
  a = 11   b = 4    p = 53    | 68    |  (4, 18)   
  a = 12   b = 4    p = 53    | 62    |  (4, 13)   
  a = 13   b = 4    p = 53    | 64    |  (0, 51)   
  a = 14   b = 4    p = 53    | 41    |  (0, 51)   
  a = 15   b = 4    p = 53    | 48    | Not Cyclic 
  a = 16   b = 4    p = 53    | 48    | Not Cyclic 
  a = 17   b = 4    p = 53    | 52    |  (2, 24)   
  a = 18   b = 4    p = 53    | 57    |  (0, 51)   
  a = 19   b = 4    p = 53    | 59    |  (0, 51)   
  a = 20   b = 4    p = 53    | 57    |  (0, 51)   
  a = 21   b = 4    p = 53    | 62    |  (0, 51)   
  a = 22   b = 4    p = 53    | 42    |  (11, 27)  
  a = 23   b = 4    p = 53    | 56    |  (1, 44)   
  a = 24   b = 4    p = 53    | 63    |  (10, 5)   
  a = 25   b = 4    p = 53    | 60    |  (5, 28)   
  a = 26   b = 4    p = 53    | 48    |   (2, 8)   
  a = 27   b = 4    p = 53    | 60    |   (6, 8)   
  a = 28   b = 4    p = 53    | 58    |  (3, 50)   
  a = 29   b = 4    p = 53    | 53    |  (0, 51)   
  a = 30   b = 4    p = 53    | 45    |  (0, 51)   
  a = 31   b = 4    p = 53    | 45    |  (0, 51)   
  a = 32   b = 4    p = 53    | 59    |  (0, 51)   
  a = 33   b = 4    p = 53    | 66    |  (0, 51)   
  a = 34   b = 4    p = 53    | 48    |  (11, 15)  
  a = 36   b = 4    p = 53    | 58    |  (7, 49)   
  a = 37   b = 4    p = 53    | 65    |  (0, 51)   
  a = 38   b = 4    p = 53    | 66    |  (1, 34)   
  a = 39   b = 4    p = 53    | 64    |  (0, 51)   
  a = 40   b = 4    p = 53    | 52    |  (0, 51)   
  a = 41   b = 4    p = 53    | 52    |  (0, 51)   
  a = 42   b = 4    p = 53    | 63    |  (1, 10)   
  a = 43   b = 4    p = 53    | 57    |  (0, 51)   
  a = 44   b = 4    p = 53    | 55    |  (0, 51)   
  a = 45   b = 4    p = 53    | 54    |  (0, 51)   
  a = 46   b = 4    p = 53    | 42    |  (0, 51)   
  a = 47   b = 4    p = 53    | 60    |  (0, 51)   
  a = 48   b = 4    p = 53    | 60    | Not Cyclic 
  a = 49   b = 4    p = 53    | 52    | Not Cyclic 
  a = 50   b = 4    p = 53    | 44    | Not Cyclic 
  a = 51   b = 4    p = 53    | 52    | Not Cyclic 
  a = 52   b = 4    p = 53    | 51    |  (0, 51)   
  a = 0    b = 5    p = 53    | 54    |  (1, 18)   
  a = 1    b = 5    p = 53    | 51    |  (2, 42)   
  a = 2    b = 5    p = 53    | 42    |  (9, 13)   
  a = 3    b = 5    p = 53    | 52    |  (1, 50)   
  a = 4    b = 5    p = 53    | 44    |  (1, 13)   
  a = 5    b = 5    p = 53    | 64    | Not Cyclic 
  a = 6    b = 5    p = 53    | 66    |   (2, 5)   
  a = 7    b = 5    p = 53    | 50    |  (5, 18)   
  a = 8    b = 5    p = 53    | 60    |  (2, 33)   
  a = 9    b = 5    p = 53    | 60    | Not Cyclic 
  a = 10   b = 5    p = 53    | 48    | Not Cyclic 
  a = 11   b = 5    p = 53    | 56    | Not Cyclic 
  a = 12   b = 5    p = 53    | 44    |  (2, 14)   
  a = 13   b = 5    p = 53    | 55    |  (4, 42)   
  a = 14   b = 5    p = 53    | 49    |  (6, 27)   
  a = 15   b = 5    p = 53    | 61    |  (2, 34)   
  a = 16   b = 5    p = 53    | 57    |  (6, 23)   
  a = 17   b = 5    p = 53    | 45    |  (7, 34)   
  a = 18   b = 5    p = 53    | 49    |  (1, 36)   
  a = 19   b = 5    p = 53    | 66    |  (7, 51)   
  a = 20   b = 5    p = 53    | 46    |  (4, 34)   
  a = 21   b = 5    p = 53    | 45    |  (4, 10)   
  a = 22   b = 5    p = 53    | 54    |   (7, 5)   
  a = 24   b = 5    p = 53    | 48    |  (12, 22)  
  a = 25   b = 5    p = 53    | 60    | Not Cyclic 
  a = 26   b = 5    p = 53    | 50    |  (10, 24)  
  a = 27   b = 5    p = 53    | 48    | Not Cyclic 
  a = 28   b = 5    p = 53    | 42    |  (2, 49)   
  a = 29   b = 5    p = 53    | 50    |  (3, 15)   
  a = 30   b = 5    p = 53    | 51    |  (1, 47)   
  a = 31   b = 5    p = 53    | 55    |  (1, 14)   
  a = 32   b = 5    p = 53    | 56    | Not Cyclic 
  a = 33   b = 5    p = 53    | 56    |  (9, 36)   
  a = 34   b = 5    p = 53    | 63    |  (3, 44)   
  a = 35   b = 5    p = 53    | 46    |  (5, 27)   
  a = 36   b = 5    p = 53    | 40    |   (4, 1)   
  a = 37   b = 5    p = 53    | 54    |  (1, 34)   
  a = 38   b = 5    p = 53    | 53    |  (1, 16)   
  a = 39   b = 5    p = 53    | 60    |  (10, 21)  
  a = 40   b = 5    p = 53    | 45    |  (3, 24)   
  a = 41   b = 5    p = 53    | 67    |  (1, 10)   
  a = 42   b = 5    p = 53    | 65    |  (2, 16)   
  a = 43   b = 5    p = 53    | 48    |  (1, 46)   
  a = 44   b = 5    p = 53    | 43    |  (9, 21)   
  a = 45   b = 5    p = 53    | 48    |  (4, 14)   
  a = 46   b = 5    p = 53    | 56    |  (1, 23)   
  a = 47   b = 5    p = 53    | 50    |  (9, 16)   
  a = 48   b = 5    p = 53    | 64    | Not Cyclic 
  a = 49   b = 5    p = 53    | 56    |  (6, 12)   
  a = 50   b = 5    p = 53    | 63    |  (6, 16)   
  a = 51   b = 5    p = 53    | 51    |  (1, 51)   
  a = 52   b = 5    p = 53    | 48    |  (3, 33)   
  a = 0    b = 6    p = 53    | 54    |  (1, 22)   
  a = 1    b = 6    p = 53    | 64    |  (0, 18)   
  a = 2    b = 6    p = 53    | 48    |   (4, 5)   
  a = 3    b = 6    p = 53    | 64    |  (0, 18)   
  a = 4    b = 6    p = 53    | 51    |  (0, 18)   
  a = 5    b = 6    p = 53    | 62    |  (2, 36)   
  a = 6    b = 6    p = 53    | 60    |  (6, 24)   
  a = 7    b = 6    p = 53    | 66    |  (2, 44)   
  a = 8    b = 6    p = 53    | 52    | Not Cyclic 
  a = 9    b = 6    p = 53    | 68    |  (1, 49)   
  a = 10   b = 6    p = 53    | 63    |  (1, 21)   
  a = 11   b = 6    p = 53    | 65    |  (0, 18)   
  a = 12   b = 6    p = 53    | 44    | Not Cyclic 
  a = 13   b = 6    p = 53    | 60    |  (7, 49)   
  a = 14   b = 6    p = 53    | 56    |  (5, 28)   
  a = 15   b = 6    p = 53    | 58    |  (2, 16)   
  a = 16   b = 6    p = 53    | 52    | Not Cyclic 
  a = 17   b = 6    p = 53    | 47    |  (0, 18)   
  a = 18   b = 6    p = 53    | 42    |  (12, 28)  
  a = 20   b = 6    p = 53    | 60    | Not Cyclic 
  a = 21   b = 6    p = 53    | 53    |  (0, 18)   
  a = 22   b = 6    p = 53    | 62    |  (0, 18)   
  a = 23   b = 6    p = 53    | 48    |  (3, 46)   
  a = 24   b = 6    p = 53    | 60    |  (0, 18)   
  a = 25   b = 6    p = 53    | 58    |  (0, 18)   
  a = 26   b = 6    p = 53    | 57    |  (0, 18)   
  a = 27   b = 6    p = 53    | 66    |  (0, 18)   
  a = 28   b = 6    p = 53    | 42    |  (0, 18)   
  a = 29   b = 6    p = 53    | 60    | Not Cyclic 
  a = 30   b = 6    p = 53    | 59    |  (0, 18)   
  a = 31   b = 6    p = 53    | 59    |  (0, 18)   
  a = 32   b = 6    p = 53    | 54    |  (0, 18)   
  a = 33   b = 6    p = 53    | 58    |  (0, 18)   
  a = 34   b = 6    p = 53    | 57    |  (0, 18)   
  a = 35   b = 6    p = 53    | 45    |  (0, 18)   
